County,State,Population,HousingUnits,TotalArea,WaterArea,LandArea,DensityPop,DensityHousing
Greene County,Tennessee,62909.00,28116.00,624.11,2.42,621.69,101.20,45.20
Grundy County,Tennessee,14332.00,6282.00,361.14,0.58,360.56,39.70,17.40
Hamblen County,Tennessee,58128.00,24693.00,175.77,14.74,161.03,361.00,153.30
Hamilton County,Tennessee,307896.00,134692.00,575.72,33.28,542.44,567.60,248.30
Hancock County,Tennessee,6786.00,3280.00,223.50,1.21,222.29,30.50,14.80
Hardeman County,Tennessee,28105.00,10694.00,670.39,2.84,667.55,42.10,16.00
Hardin County,Tennessee,25578.00,12807.00,596.31,18.45,577.86,44.30,22.20
Hawkins County,Tennessee,53563.00,24416.00,499.63,12.97,486.66,110.10,50.20
Haywood County,Tennessee,19797.00,8086.00,534.15,0.95,533.20,37.10,15.20
Henderson County,Tennessee,25522.00,11446.00,525.91,5.89,520.02,49.10,22.00
Henry County,Tennessee,31115.00,15783.00,593.45,31.77,561.68,55.40,28.10
Hickman County,Tennessee,22295.00,8904.00,612.70,0.18,612.52,36.40,14.50
Houston County,Tennessee,8088.00,3901.00,206.92,6.71,200.21,40.40,19.50
Humphreys County,Tennessee,17929.00,8482.00,556.72,24.50,532.22,33.70,15.90
Jackson County,Tennessee,10984.00,5163.00,319.56,10.67,308.88,35.60,16.70
Jefferson County,Tennessee,44294.00,19319.00,314.33,40.51,273.81,161.80,70.60
Johnson County,Tennessee,17499.00,7879.00,302.73,4.26,298.47,58.60,26.40
Knox County,Tennessee,382032.00,171439.00,525.78,17.32,508.46,751.30,337.20
Lake County,Tennessee,7954.00,2716.00,193.79,30.38,163.42,48.70,16.60
Lauderdale County,Tennessee,27101.00,10563.00,507.14,36.69,470.45,57.60,22.50
Lawrence County,Tennessee,39926.00,16821.00,617.91,0.74,617.17,64.70,27.30
Lewis County,Tennessee,11367.00,4821.00,282.48,0.38,282.09,40.30,17.10
Lincoln County,Tennessee,31340.00,13999.00,570.63,0.39,570.23,55.00,24.50
Loudon County,Tennessee,39086.00,17277.00,247.31,18.43,228.88,170.80,75.50
McMinn County,Tennessee,49015.00,21626.00,432.22,1.94,430.28,113.90,50.30
McNairy County,Tennessee,24653.00,11219.00,560.84,0.79,560.04,44.00,20.00
Macon County,Tennessee,20386.00,8894.00,307.19,0.06,307.13,66.40,29.00
Madison County,Tennessee,91837.00,38205.00,558.63,1.63,557.00,164.90,68.60
Marion County,Tennessee,27776.00,12140.00,512.32,13.96,498.36,55.70,24.40
Marshall County,Tennessee,26767.00,11181.00,376.10,0.75,375.36,71.30,29.80
Maury County,Tennessee,69498.00,28674.00,615.52,2.66,612.86,113.40,46.80
Meigs County,Tennessee,11086.00,5188.00,216.78,21.92,194.86,56.90,26.60
Monroe County,Tennessee,38961.00,17287.00,652.58,17.67,634.91,61.40,27.20
Montgomery County,Tennessee,134768.00,52167.00,543.84,4.57,539.28,249.90,96.70
Moore County,Tennessee,5740.00,2515.00,130.38,1.21,129.18,44.40,19.50
Morgan County,Tennessee,19757.00,7714.00,522.40,0.35,522.04,37.80,14.80
Obion County,Tennessee,32450.00,14489.00,555.35,10.43,544.91,59.60,26.60
Overton County,Tennessee,20118.00,9168.00,434.82,1.43,433.38,46.40,21.20
Perry County,Tennessee,7631.00,4115.00,422.90,8.00,414.89,18.40,9.90
Pickett County,Tennessee,4945.00,2956.00,174.58,11.66,162.92,30.40,18.10
Polk County,Tennessee,16050.00,7369.00,442.35,7.30,435.05,36.90,16.90
Putnam County,Tennessee,62315.00,26916.00,402.56,1.50,401.05,155.40,67.10
Rhea County,Tennessee,28400.00,12565.00,336.39,20.45,315.94,89.90,39.80
Roane County,Tennessee,51910.00,23369.00,394.98,34.00,360.98,143.80,64.70
Robertson County,Tennessee,54433.00,20995.00,476.67,0.20,476.47,114.20,44.10
Rutherford County,Tennessee,182023.00,70616.00,623.94,5.03,618.91,294.10,114.10
Scott County,Tennessee,21127.00,8909.00,533.22,1.13,532.09,39.70,16.70
Sequatchie County,Tennessee,11370.00,4916.00,266.02,0.18,265.85,42.80,18.50
Sevier County,Tennessee,71170.00,37252.00,597.73,5.45,592.29,120.20,62.90
Shelby County,Tennessee,897472.00,362954.00,783.63,29.10,754.53,1189.40,481.00
Smith County,Tennessee,17712.00,7665.00,325.35,10.94,314.41,56.30,24.40
Stewart County,Tennessee,12370.00,5977.00,493.20,34.72,458.48,27.00,13.00
Sullivan County,Tennessee,153048.00,69052.00,429.69,16.67,413.02,370.60,167.20
Sumner County,Tennessee,130449.00,51657.00,543.12,13.81,529.30,246.50,97.60
Tipton County,Tennessee,51271.00,19064.00,474.72,15.35,459.37,111.60,41.50
Trousdale County,Tennessee,7259.00,3095.00,116.64,2.40,114.24,63.50,27.10
Unicoi County,Tennessee,17667.00,8214.00,186.49,0.35,186.14,94.90,44.10
Union County,Tennessee,17808.00,7916.00,247.13,23.57,223.56,79.70,35.40
Van Buren County,Tennessee,5508.00,2453.00,274.59,1.14,273.46,20.10,9.00
Warren County,Tennessee,38276.00,16689.00,434.08,1.40,432.69,88.50,38.60
Washington County,Tennessee,107198.00,47779.00,329.80,3.49,326.31,328.50,146.40
Wayne County,Tennessee,16842.00,6701.00,735.59,1.63,733.96,22.90,9.10
Weakley County,Tennessee,34895.00,14928.00,581.81,1.62,580.19,60.10,25.70
White County,Tennessee,23102.00,10191.00,379.39,2.80,376.58,61.30,27.10
Williamson County,Tennessee,126638.00,47005.00,583.62,0.94,582.68,217.30,80.70
Wilson County,Tennessee,88809.00,34921.00,583.20,12.63,570.57,155.60,61.20
Anderson County,Texas,55109.00,18436.00,1077.95,7.16,1070.79,51.50,17.20
Andrews County,Texas,13004.00,5400.00,1500.99,0.36,1500.64,8.70,3.60
Angelina County,Texas,80130.00,32435.00,864.45,62.89,801.56,100.00,40.50
Aransas County,Texas,22497.00,12848.00,527.95,276.09,251.86,89.30,51.00
Archer County,Texas,8854.00,3871.00,925.78,16.09,909.70,9.70,4.30
Armstrong County,Texas,2148.00,920.00,913.81,0.18,913.63,2.40,1.00
Atascosa County,Texas,38628.00,14883.00,1235.61,3.49,1232.12,31.40,12.10
Austin County,Texas,23590.00,10205.00,656.37,3.78,652.59,36.10,15.60
Bailey County,Texas,6594.00,2738.00,827.38,0.68,826.69,8.00,3.30
Bandera County,Texas,17645.00,9503.00,797.54,5.81,791.73,22.30,12.00
Bastrop County,Texas,57733.00,22254.00,895.92,7.57,888.35,65.00,25.10
Baylor County,Texas,4093.00,2820.00,901.01,30.24,870.77,4.70,3.20
Bee County,Texas,32359.00,10939.00,880.31,0.17,880.14,36.80,12.40
Bell County,Texas,237974.00,92782.00,1087.93,28.21,1059.72,224.60,87.60
Bexar County,Texas,1392931.00,521359.00,1256.66,9.84,1246.82,1117.20,418.10
Blanco County,Texas,8418.00,4031.00,713.41,2.16,711.24,11.80,5.70
Borden County,Texas,729.00,435.00,906.04,7.24,898.80,0.80,0.50
Bosque County,Texas,17204.00,8644.00,1002.63,13.46,989.18,17.40,8.70
Bowie County,Texas,89306.00,36463.00,922.77,34.90,887.87,100.60,41.10
Brazoria County,Texas,241767.00,90628.00,1597.44,211.04,1386.40,174.40,65.40
Brazos County,Texas,152415.00,59023.00,590.29,4.51,585.78,260.20,100.80
Brewster County,Texas,8866.00,4614.00,6192.78,0.18,6192.61,1.40,0.70
Briscoe County,Texas,1790.00,1006.00,901.59,1.33,900.25,2.00,1.10
Brooks County,Texas,7976.00,3203.00,943.61,0.33,943.28,8.50,3.40
Brown County,Texas,37674.00,17889.00,956.94,13.08,943.85,39.90,19.00
Burleson County,Texas,16470.00,8197.00,677.78,12.24,665.54,24.70,12.30
Burnet County,Texas,34147.00,15933.00,1020.96,24.93,996.04,34.30,16.00
Caldwell County,Texas,32194.00,11901.00,547.41,1.69,545.73,59.00,21.80
Calhoun County,Texas,20647.00,10238.00,1032.16,519.84,512.31,40.30,20.00
Callahan County,Texas,12905.00,5925.00,901.26,2.64,898.62,14.40,6.60
Cameron County,Texas,335227.00,119654.00,1276.33,370.58,905.76,370.10,132.10
Camp County,Texas,11549.00,5228.00,203.20,5.69,197.51,58.50,26.50
Carson County,Texas,6516.00,2815.00,924.10,0.91,923.19,7.10,3.00
Cass County,Texas,30438.00,13890.00,960.35,22.99,937.35,32.50,14.80
Castro County,Texas,8285.00,3198.00,899.32,1.00,898.31,9.20,3.60
Chambers County,Texas,26031.00,10336.00,871.99,272.68,599.31,43.40,17.20
Cherokee County,Texas,46659.00,19173.00,1061.93,9.72,1052.22,44.30,18.20
Childress County,Texas,7688.00,3059.00,713.61,3.27,710.34,10.80,4.30
Clay County,Texas,11006.00,4992.00,1116.17,18.36,1097.82,10.00,4.50
Cochran County,Texas,3730.00,1587.00,775.31,0.09,775.22,4.80,2.00
Coke County,Texas,3864.00,2843.00,927.97,29.17,898.81,4.30,3.20
Coleman County,Texas,9235.00,5248.00,1281.45,21.25,1260.20,7.30,4.20
Collin County,Texas,491675.00,194892.00,885.85,38.29,847.56,580.10,229.90
Collingsworth County,Texas,3206.00,1723.00,919.44,0.64,918.80,3.50,1.90
Colorado County,Texas,20390.00,9431.00,973.59,10.64,962.95,21.20,9.80
Comal County,Texas,78021.00,32718.00,574.59,13.15,561.45,139.00,58.30
Comanche County,Texas,14026.00,7105.00,947.67,9.98,937.69,15.00,7.60
Concho County,Texas,3966.00,1488.00,993.69,2.23,991.45,4.00,1.50
Cooke County,Texas,36363.00,15061.00,898.81,25.17,873.64,41.60,17.20
Coryell County,Texas,74978.00,21776.00,1056.73,4.97,1051.76,71.30,20.70
Cottle County,Texas,1904.00,1088.00,901.59,0.42,901.18,2.10,1.20
Crane County,Texas,3996.00,1596.00,785.59,0.03,785.56,5.10,2.00
Crockett County,Texas,4099.00,2049.00,2807.43,0.01,2807.42,1.50,0.70
Crosby County,Texas,7072.00,3202.00,901.69,2.17,899.51,7.90,3.60
Culberson County,Texas,2975.00,1321.00,3812.71,0.25,3812.46,0.80,0.30
Dallam County,Texas,6222.00,2697.00,1505.26,0.56,1504.69,4.10,1.80
Dallas County,Texas,2218899.00,854119.00,908.56,28.96,879.60,2522.60,971.00
Dawson County,Texas,14985.00,5500.00,902.12,0.06,902.06,16.60,6.10
Deaf Smith County,Texas,18561.00,6914.00,1498.26,0.92,1497.34,12.40,4.60
Delta County,Texas,5327.00,2410.00,277.92,0.84,277.08,19.20,8.70
Denton County,Texas,432976.00,168069.00,957.88,69.34,888.54,487.30,189.20
DeWitt County,Texas,20013.00,8756.00,910.47,1.29,909.18,22.00,9.60
Dickens County,Texas,2762.00,1368.00,905.21,1.00,904.21,3.10,1.50
Dimmit County,Texas,10248.00,4112.00,1334.48,3.57,1330.91,7.70,3.10
Donley County,Texas,3828.00,2378.00,933.05,3.28,929.77,4.10,2.60
Duval County,Texas,13120.00,5543.00,1795.67,2.97,1792.71,7.30,3.10
Eastland County,Texas,18297.00,9547.00,931.90,5.89,926.01,19.80,10.30
Ector County,Texas,121123.00,49500.00,901.68,0.62,901.06,134.40,54.90
Edwards County,Texas,2162.00,1217.00,2119.95,0.19,2119.75,1.00,0.60
Ellis County,Texas,111360.00,39071.00,951.66,11.75,939.91,118.50,41.60
El Paso County,Texas,679622.00,224447.00,1014.68,1.57,1013.11,670.80,221.50
Erath County,Texas,33001.00,14422.00,1089.80,3.47,1086.33,30.40,13.30
Falls County,Texas,18576.00,7658.00,773.81,4.72,769.09,24.20,10.00
Fannin County,Texas,31242.00,12887.00,899.16,7.71,891.45,35.00,14.50
Fayette County,Texas,21804.00,11113.00,959.84,9.81,950.03,23.00,11.70
Fisher County,Texas,4344.00,2277.00,901.74,0.58,901.16,4.80,2.50
Floyd County,Texas,7771.00,3221.00,992.51,0.32,992.19,7.80,3.20
Foard County,Texas,1622.00,850.00,707.69,1.01,706.68,2.30,1.20
Fort Bend County,Texas,354452.00,115991.00,886.05,11.41,874.64,405.30,132.60
Franklin County,Texas,9458.00,5132.00,294.77,9.12,285.66,33.10,18.00
Freestone County,Texas,17867.00,8138.00,892.13,14.70,877.43,20.40,9.30
Frio County,Texas,16252.00,5660.00,1134.28,1.26,1133.02,14.30,5.00
Gaines County,Texas,14467.00,5410.00,1502.84,0.49,1502.35,9.60,3.60
Galveston County,Texas,250158.00,111733.00,872.93,474.46,398.47,627.80,280.40
Garza County,Texas,4872.00,1928.00,896.19,0.63,895.56,5.40,2.20
Gillespie County,Texas,20814.00,9902.00,1061.48,0.42,1061.06,19.60,9.30
Glasscock County,Texas,1406.00,660.00,900.93,0.19,900.75,1.60,0.70
Goliad County,Texas,6928.00,3426.00,859.35,5.83,853.52,8.10,4.00
Gonzales County,Texas,18628.00,8194.00,1069.82,2.07,1067.75,17.40,7.70
Gray County,Texas,22744.00,10567.00,929.25,0.97,928.28,24.50,11.40
Grayson County,Texas,110595.00,48315.00,979.19,45.68,933.51,118.50,51.80
Gregg County,Texas,111379.00,46349.00,276.37,2.34,274.03,406.40,169.10
Grimes County,Texas,23552.00,9490.00,801.16,7.56,793.60,29.70,12.00
Guadalupe County,Texas,89023.00,33585.00,714.17,3.03,711.14,125.20,47.20
Hale County,Texas,36602.00,13526.00,1004.77,0.12,1004.65,36.40,13.50
Hall County,Texas,3782.00,1988.00,904.08,0.99,903.09,4.20,2.20
Hamilton County,Texas,8229.00,4455.00,836.38,0.67,835.71,9.80,5.30
Hansford County,Texas,5369.00,2329.00,920.40,0.60,919.80,5.80,2.50
Hardeman County,Texas,4724.00,2358.00,697.00,1.62,695.38,6.80,3.40
Hardin County,Texas,48073.00,19836.00,897.37,3.04,894.33,53.80,22.20
Harris County,Texas,3400578.00,1298130.00,1777.69,48.87,1728.83,1967.00,750.90
Harrison County,Texas,62110.00,26271.00,915.09,16.38,898.71,69.10,29.20
Hartley County,Texas,5537.00,1760.00,1463.20,0.95,1462.25,3.80,1.20
Haskell County,Texas,6093.00,3555.00,910.25,7.29,902.97,6.70,3.90
Hays County,Texas,97589.00,35643.00,679.79,1.92,677.87,144.00,52.60
Hemphill County,Texas,3351.00,1548.00,912.06,2.38,909.68,3.70,1.70
Henderson County,Texas,73277.00,35935.00,949.00,74.76,874.24,83.80,41.10
Hidalgo County,Texas,569463.00,192658.00,1582.66,12.92,1569.75,362.80,122.70
Hill County,Texas,32321.00,14624.00,985.65,23.29,962.36,33.60,15.20
Hockley County,Texas,22716.00,9148.00,908.55,0.27,908.28,25.00,10.10
Hood County,Texas,41100.00,19105.00,436.80,15.19,421.61,97.50,45.30
Hopkins County,Texas,31960.00,14020.00,792.74,10.35,782.40,40.80,17.90
Houston County,Texas,23185.00,10730.00,1236.83,5.94,1230.89,18.80,8.70
Howard County,Texas,33627.00,13589.00,904.19,1.36,902.84,37.20,15.10
Hudspeth County,Texas,3344.00,1471.00,4571.93,0.93,4571.00,0.70,0.30
Hunt County,Texas,76596.00,32490.00,882.02,40.87,841.16,91.10,38.60
Hutchinson County,Texas,23857.00,10871.00,894.95,7.58,887.37,26.90,12.30
Irion County,Texas,1771.00,914.00,1051.59,0.11,1051.48,1.70,0.90
Jack County,Texas,8763.00,3668.00,920.11,3.50,916.61,9.60,4.00
Jackson County,Texas,14391.00,6545.00,857.03,27.54,829.49,17.30,7.90
Jasper County,Texas,35604.00,16576.00,969.62,32.22,937.40,38.00,17.70
Jeff Davis County,Texas,2207.00,1420.00,2264.60,0.18,2264.43,1.00,0.60
Jefferson County,Texas,252051.00,102080.00,1111.26,207.71,903.55,279.00,113.00
Jim Hogg County,Texas,5281.00,2308.00,1136.16,0.05,1136.11,4.60,2.00
Jim Wells County,Texas,39326.00,14819.00,868.22,3.71,864.52,45.50,17.10
Johnson County,Texas,126811.00,46269.00,734.46,5.03,729.42,173.90,63.40
Jones County,Texas,20785.00,7236.00,937.13,6.14,930.99,22.30,7.80
Karnes County,Texas,15446.00,5479.00,753.58,3.27,750.32,20.60,7.30
Kaufman County,Texas,71313.00,26133.00,806.81,20.76,786.04,90.70,33.20
Kendall County,Texas,23743.00,9609.00,663.04,0.60,662.44,35.80,14.50
Kenedy County,Texas,414.00,281.00,1945.60,488.83,1456.77,0.30,0.20
Kent County,Texas,859.00,551.00,902.91,0.58,902.33,1.00,0.60
Kerr County,Texas,43653.00,20228.00,1107.66,1.54,1106.12,39.50,18.30
Kimble County,Texas,4468.00,2996.00,1250.92,0.23,1250.70,3.60,2.40
King County,Texas,356.00,174.00,913.33,1.04,912.29,0.40,0.20
Kinney County,Texas,3379.00,1907.00,1365.31,1.87,1363.44,2.50,1.40
Kleberg County,Texas,31549.00,12743.00,1090.29,219.32,870.97,36.20,14.60
Knox County,Texas,4253.00,2129.00,855.43,6.43,849.00,5.00,2.50
Lamar County,Texas,48499.00,21113.00,932.47,15.66,916.81,52.90,23.00
Lamb County,Texas,14709.00,6294.00,1017.73,1.52,1016.21,14.50,6.20
Lampasas County,Texas,17762.00,7601.00,713.96,1.92,712.04,24.90,10.70
La Salle County,Texas,5866.00,2436.00,1494.23,5.38,1488.85,3.90,1.60
Lavaca County,Texas,19210.00,9657.00,970.35,0.45,969.90,19.80,10.00
Lee County,Texas,15657.00,6851.00,634.03,5.53,628.50,24.90,10.90
Leon County,Texas,15335.00,8299.00,1080.38,8.34,1072.04,14.30,7.70
Liberty County,Texas,70154.00,26359.00,1176.22,16.54,1159.68,60.50,22.70
Limestone County,Texas,22051.00,9725.00,933.15,24.27,908.88,24.30,10.70
Lipscomb County,Texas,3057.00,1541.00,932.22,0.11,932.11,3.30,1.70
Live Oak County,Texas,12309.00,6196.00,1078.83,42.53,1036.30,11.90,6.00
Llano County,Texas,17044.00,11829.00,966.18,31.41,934.76,18.20,12.70
Loving County,Texas,67.00,70.00,676.85,3.77,673.08,0.10,0.10
Lubbock County,Texas,242628.00,100595.00,900.70,1.20,899.49,269.70,111.80
Lynn County,Texas,6550.00,2671.00,893.46,1.58,891.88,7.30,3.00
McCulloch County,Texas,8205.00,4184.00,1073.35,4.05,1069.31,7.70,3.90
McLennan County,Texas,213517.00,84795.00,1060.23,18.34,1041.88,204.90,81.40
McMullen County,Texas,851.00,587.00,1142.60,29.60,1113.00,0.80,0.50
Madison County,Texas,12940.00,4797.00,472.44,2.80,469.65,27.60,10.20
Marion County,Texas,10941.00,6384.00,420.36,39.15,381.21,28.70,16.70
Martin County,Texas,4746.00,1898.00,915.62,0.84,914.78,5.20,2.10
Mason County,Texas,3738.00,2372.00,932.18,0.11,932.07,4.00,2.50
Matagorda County,Texas,37957.00,18611.00,1612.19,497.73,1114.46,34.10,16.70
Maverick County,Texas,47297.00,14889.00,1291.74,11.66,1280.08,36.90,11.60
Medina County,Texas,39304.00,14826.00,1334.53,6.77,1327.76,29.60,11.20
Menard County,Texas,2360.00,1607.00,902.25,0.34,901.91,2.60,1.80
Midland County,Texas,116009.00,48060.00,901.97,1.72,900.25,128.90,53.40
Milam County,Texas,24238.00,10866.00,1021.67,4.95,1016.71,23.80,10.70
Mills County,Texas,5151.00,2691.00,749.89,1.78,748.11,6.90,3.60
Mitchell County,Texas,9698.00,4168.00,915.90,5.86,910.04,10.70,4.60
Montague County,Texas,19117.00,9862.00,938.44,7.78,930.66,20.50,10.60
Montgomery County,Texas,293768.00,112770.00,1076.81,32.78,1044.03,281.40,108.00
Moore County,Texas,20121.00,7478.00,909.61,9.95,899.66,22.40,8.30
Morris County,Texas,13048.00,6017.00,258.64,4.13,254.51,51.30,23.60
Motley County,Texas,1426.00,839.00,989.81,0.43,989.38,1.40,0.80
Nacogdoches County,Texas,59203.00,25051.00,981.33,34.56,946.77,62.50,26.50
Navarro County,Texas,45124.00,18449.00,1086.17,78.51,1007.66,44.80,18.30
Newton County,Texas,15072.00,7331.00,939.51,6.82,932.69,16.20,7.90
Nolan County,Texas,15802.00,7112.00,913.93,1.94,911.98,17.30,7.80
Nueces County,Texas,313645.00,123041.00,1166.42,330.60,835.82,375.30,147.20
Ochiltree County,Texas,9006.00,3769.00,918.07,0.51,917.56,9.80,4.10
Oldham County,Texas,2185.00,815.00,1501.42,0.79,1500.63,1.50,0.50
Orange County,Texas,84966.00,34781.00,379.54,23.14,356.40,238.40,97.60
Palo Pinto County,Texas,27026.00,14102.00,985.50,32.57,952.93,28.40,14.80
Panola County,Texas,22756.00,10524.00,821.34,20.42,800.92,28.40,13.10
Parker County,Texas,88495.00,34084.00,910.09,6.58,903.51,97.90,37.70
Parmer County,Texas,10016.00,3732.00,885.17,3.51,881.66,11.40,4.20
Pecos County,Texas,16809.00,6338.00,4764.73,1.07,4763.66,3.50,1.30
Polk County,Texas,41133.00,21177.00,1109.81,52.55,1057.26,38.90,20.00
Potter County,Texas,113546.00,44598.00,921.98,12.74,909.24,124.90,49.00
Presidio County,Texas,7304.00,3299.00,3856.26,0.75,3855.51,1.90,0.90
Rains County,Texas,9139.00,4523.00,258.87,26.82,232.05,39.40,19.50
Randall County,Texas,104312.00,43261.00,922.42,7.99,914.43,114.10,47.30
Reagan County,Texas,3326.00,1452.00,1175.98,0.68,1175.30,2.80,1.20
Real County,Texas,3047.00,2007.00,700.04,0.13,699.91,4.40,2.90
Red River County,Texas,14314.00,6916.00,1057.61,7.43,1050.18,13.60,6.60
Reeves County,Texas,13137.00,5043.00,2641.95,6.07,2635.88,5.00,1.90
Refugio County,Texas,7828.00,3669.00,818.64,48.43,770.21,10.20,4.80
Roberts County,Texas,887.00,449.00,924.19,0.10,924.09,1.00,0.50
Robertson County,Texas,16000.00,7874.00,865.67,11.11,854.56,18.70,9.20
Rockwall County,Texas,43080.00,15351.00,148.70,19.91,128.79,334.50,119.20
Runnels County,Texas,11495.00,5400.00,1057.13,6.40,1050.73,10.90,5.10
Rusk County,Texas,47372.00,19867.00,938.62,15.07,923.55,51.30,21.50
Sabine County,Texas,10469.00,7659.00,576.61,86.34,490.27,21.40,15.60
San Augustine County,Texas,8946.00,5356.00,592.21,64.34,527.87,16.90,10.10
San Jacinto County,Texas,22246.00,11520.00,627.90,57.25,570.65,39.00,20.20
San Patricio County,Texas,67138.00,24864.00,707.06,15.41,691.65,97.10,35.90
San Saba County,Texas,6186.00,2951.00,1138.25,3.78,1134.47,5.50,2.60
Schleicher County,Texas,2935.00,1371.00,1310.65,0.04,1310.61,2.20,1.00
Scurry County,Texas,16361.00,7112.00,907.53,5.03,902.50,18.10,7.90
Shackelford County,Texas,3302.00,1613.00,915.54,1.59,913.95,3.60,1.80
Shelby County,Texas,25224.00,11955.00,834.53,40.43,794.11,31.80,15.10
Sherman County,Texas,3186.00,1275.00,923.20,0.16,923.03,3.50,1.40
Smith County,Texas,174706.00,71701.00,949.45,21.06,928.38,188.20,77.20
Somervell County,Texas,6809.00,2750.00,191.90,4.73,187.17,36.40,14.70
Starr County,Texas,53597.00,17589.00,1229.28,6.26,1223.02,43.80,14.40
Stephens County,Texas,9674.00,4893.00,921.48,26.84,894.64,10.80,5.50
Sterling County,Texas,1393.00,633.00,923.49,0.13,923.36,1.50,0.70
Stonewall County,Texas,1693.00,936.00,920.23,1.56,918.67,1.80,1.00
Sutton County,Texas,4077.00,1998.00,1454.40,0.63,1453.76,2.80,1.40
Swisher County,Texas,8378.00,3315.00,900.68,0.25,900.43,9.30,3.70
Tarrant County,Texas,1446219.00,565830.00,897.48,34.06,863.42,1675.00,655.30
Taylor County,Texas,126555.00,52056.00,919.25,3.63,915.63,138.20,56.90
Terrell County,Texas,1081.00,991.00,2357.75,0.03,2357.72,0.50,0.40
Terry County,Texas,12761.00,5087.00,890.93,1.06,889.88,14.30,5.70
Throckmorton County,Texas,1850.00,1066.00,915.47,3.13,912.34,2.00,1.20
Titus County,Texas,28118.00,10675.00,425.69,15.15,410.54,68.50,26.00
Tom Green County,Texas,104010.00,43916.00,1540.54,18.44,1522.10,68.30,28.90
Travis County,Texas,812280.00,335881.00,1022.08,32.77,989.30,821.10,339.50
Trinity County,Texas,13779.00,8141.00,714.00,21.16,692.84,19.90,11.80
Tyler County,Texas,20871.00,10419.00,935.71,12.81,922.90,22.60,11.30
Upshur County,Texas,35291.00,14930.00,592.67,5.02,587.64,60.10,25.40
Upton County,Texas,3404.00,1609.00,1241.83,0.16,1241.68,2.70,1.30
Uvalde County,Texas,25926.00,10166.00,1558.60,2.06,1556.55,16.70,6.50
Val Verde County,Texas,44856.00,16288.00,3232.40,62.02,3170.38,14.10,5.10
Van Zandt County,Texas,48140.00,20896.00,859.48,10.84,848.64,56.70,24.60
Victoria County,Texas,84088.00,32945.00,888.73,6.23,882.50,95.30,37.30
Walker County,Texas,61758.00,21099.00,801.44,13.99,787.45,78.40,26.80
Waller County,Texas,32663.00,11955.00,518.49,4.87,513.63,63.60,23.30
Ward County,Texas,10909.00,4832.00,835.74,0.25,835.49,13.10,5.80
Washington County,Texas,30373.00,13241.00,621.35,12.13,609.22,49.90,21.70
Webb County,Texas,193117.00,55206.00,3375.53,18.69,3356.83,57.50,16.40
Wharton County,Texas,41188.00,16606.00,1094.43,4.29,1090.13,37.80,15.20
Wheeler County,Texas,5284.00,2687.00,915.34,1.08,914.26,5.80,2.90
Wichita County,Texas,131664.00,53304.00,633.01,5.35,627.66,209.80,84.90
Wilbarger County,Texas,14676.00,6371.00,978.10,7.03,971.06,15.10,6.60
Willacy County,Texas,20082.00,6727.00,784.23,187.55,596.68,33.70,11.30
Williamson County,Texas,249967.00,90325.00,1134.74,11.97,1122.77,222.60,80.40
Wilson County,Texas,32408.00,12110.00,808.57,1.58,806.99,40.20,15.00
Winkler County,Texas,7173.00,3214.00,841.24,0.19,841.05,8.50,3.80
Wise County,Texas,48793.00,19242.00,922.77,18.17,904.61,53.90,21.30
Wood County,Texas,36752.00,17939.00,695.80,45.58,650.22,56.50,27.60
Yoakum County,Texas,7322.00,2974.00,799.76,0.01,799.75,9.20,3.70
Young County,Texas,17943.00,8504.00,930.84,8.51,922.33,19.50,9.20
Zapata County,Texas,12182.00,6167.00,1058.10,61.34,996.76,12.20,6.20
Zavala County,Texas,11600.00,4075.00,1301.72,3.24,1298.48,8.90,3.10
Beaver County,Utah,6005.00,2660.00,2592.28,2.33,2589.95,2.30,1.00
Box Elder County,Utah,42745.00,14209.00,6729.03,1005.69,5723.34,7.50,2.50
Cache County,Utah,91391.00,29035.00,1173.07,8.55,1164.52,78.50,24.90
Carbon County,Utah,20422.00,8741.00,1484.57,6.12,1478.46,13.80,5.90
Daggett County,Utah,921.00,1084.00,723.06,24.71,698.36,1.30,1.60
Davis County,Utah,238994.00,74114.00,633.70,329.22,304.48,784.90,243.40
Duchesne County,Utah,14371.00,6988.00,3255.97,17.92,3238.05,4.40,2.20
Emery County,Utah,10860.00,4093.00,4461.54,9.69,4451.85,2.40,0.90
Garfield County,Utah,4735.00,2767.00,5208.20,33.98,5174.22,0.90,0.50
Grand County,Utah,8485.00,4062.00,3694.08,12.52,3681.56,2.30,1.10
Iron County,Utah,33779.00,13618.00,3301.84,3.87,3297.98,10.20,4.10
Juab County,Utah,8238.00,2810.00,3406.28,14.54,3391.74,2.40,0.80
Kane County,Utah,6046.00,3767.00,4108.42,116.46,3991.96,1.50,0.90
Millard County,Utah,12405.00,4522.00,6828.01,238.87,6589.13,1.90,0.70
Morgan County,Utah,7129.00,2158.00,610.79,1.66,609.13,11.70,3.50
Piute County,Utah,1435.00,745.00,765.76,7.95,757.81,1.90,1.00
Rich County,Utah,1961.00,2408.00,1086.29,57.76,1028.53,1.90,2.30
Salt Lake County,Utah,898387.00,310988.00,807.78,70.40,737.38,1218.40,421.70
San Juan County,Utah,14413.00,5449.00,7933.09,112.91,7820.18,1.80,0.70
Sanpete County,Utah,22763.00,7879.00,1602.66,14.55,1588.11,14.30,5.00
Sevier County,Utah,18842.00,7016.00,1918.28,8.03,1910.25,9.90,3.70
